"BJP Manifesto where it deals with J&K has set the pants of Kashmiri extremists on fire","OAG"
"Today was my first rally in Goa where I did not have my good friend Manohar Parrikar by my side. Parrikar Ji's life and message will always inspire. The dedication with which he worked for Goa has no parallel. India will never forget his contribution as Defence Minister","NAG"
"The Sikhs and Mahrattas finished off the Muslim invaders by 1795. Then the Sadhus and sanyasis emaciated the British and Subhash Bose made them flee India. Gandhi gave them safe passage despite the British engineering a 5 million rice deprivation genocide","OAG"
"Your Chowkidar @narendramodi ji is standing firm & serving the nation. But he is not alone. Everyone who is fighting corruption dirt social evils is a Chowkidar. Everyone working hard for the progress of India is a Chowkidar. Today every Indian is saying-#MainBhiChowkidar","NAG"
"The spectacular rally in Chitradurga indicates the mood of Karnataka. Congress and JD(S) cannot talk of their work so they divide communities and harass farmers. Karnataka has had enough of these two parties. Our seats from the state will increase this election","OAG"
"No 2 Crore JOBS. No 15 Lakhs in Bank A/C. No ACCHE DIN. Instead: No JOBS. DEMONETISATION. Farmers in Pain. GABBAR SINGH TAX. Suit Boot Sarkar. RAFALE. Lies. Lies. Lies. Distrust. Violence. HATE. Fear. You vote today for the soul of India. For her future. Vote wisely","OAG"
"Happy to have campaigned in Thiruvananthapuram last evening. BJP's support base in this city has been rising over the last many years. UDF and LDF's corruption communalism and failure to protect Kerala's culture is drawing people to BJP. Kerala politics is seeing a big shift","OAG"
"I have already given to SC complete and irrefutable arguments why Ram Mandir in Ayodhya where it was before butchers from Afghanistan (Babar) demolished it. Muslims now 99% agree. So anytime Ram Mandir","OAG"
"As I prepare to seek the support to fulfill the expectations of the people of Arunachal Pradesh I fondly remember the blessing I recieved from Bharat Ratna Atal Bihari Vajpayee. A Journey never stops and I believe that the task given to me by the people will be fulfilled","NAG"
"BJP unveils a fresh set of jumlas without telling the country what is the fate of its 2014 jumlas. Modi-Shah don't have the courage to speak on why demonetisation was done? What happened to two crore jobs ? Why were farmers pushed towards destruction","OAG"
"Had an extensive interaction with trader friends from across India. For decades Congress gave the nation License Raj Permit Raj and Quota System in trade & commerce. This destroyed room for innovation and enterprise. Jana Sangh and BJP have always worked for small businesses","CAG"
"Himmatnagar and Sabarkantha have an old relation with our party. When the Jana Sangh was still growing this part of Gujarat blessed us. At the rally today highlighted the work and vision of NDA for farmers and youngsters. BJP's support in this part is at an all-time high","NAG"
"Namo now admits govt with PDP was a Mahamilawat. Quotes National Herald case as fighting corruption and silent on economy. In future we must conclude the 500 years Hindu struggle against foreign vandalism on Ram Temple & convert bail to jail for Ali Bibi and her chalis chors","OAG"
"Disgraceful comments by BJP's Bhopal Lok Sabha candidate Pragya Thakur on 26/11 martyr Hemant Karkare ji need to be condemned in strongest terms. BJP is showing its true colours & it must be shown it's place now. Pragya Singh Thakur: Maine kaha tera (Mumbai ATS chief late Hemant Karkare) sarvanash hoga. Theek sava mahine mein sutak lagta hai. Jis din main gayi thi us din iske sutak lag gaya tha. Aur theek sava mahine mein jis din atankwadiyon ne isko maara us din uska anth hua","OAG"
"Finally Mamata didi's trusted lieutenant accepts that her party believes in the idea of violence and anarchy. But I want to remind Mamata Didi that such destruction of democracy won't last long. People of Bengal will vote out TMC at the hustings. Her time is up","OAG"
"Pakistan and Imran Khan are openly supporting Modi ji. It is clear now that Modi ji has some secret pact wid them. Everyone is asking - did Pakistan kill 40 of our brave soldiers in Pulwama on 14 Feb just before elections to help Modi ji?","CAG"
"UPA ruled for 10 years and gave only Rs.16500 crore for Telangana during these years. I want to tell the people of Telangana that Modi government gave a whopping amount of Rs. 245000 crore for the development of Telangana in just 5 years","CAG"
"We are not in power in Telangana but it does not deter us from working for the development of the state. PM Modi left no stone unturned in serving the people of Telangana. It was Modi ji who inaugurated Hyderabad Metro in 2016 and sanctioned Rs. 16000 crore for the same","NAG"
"I want to ask the people of Telangana why Chandrashekhar Rao government does not celebrate Telangana Liberation Day? The reason for not celebrating the liberation day is Owaisi-Fear","CAG"
"Addressed a public meeting in Shamshabad Telangana. Wherever i go I see huge support for PM Narendra Modi. The people of India are all set to bless Modi ji again with absolute majority","NAG"
"The time for change in Odisha has come. The people of Odisha can't afford a moment's delay. Let us all take a pledge to uproot the corrupt and inefficient BJD govt. Sharing pictures from a public meeting in Bargarh Odisha","OAG"
"Rahul ji is constantly interacting with the youth. He is sharing his views about jobs crisis importance of skills about aspirations of youth n issues which are of real concern for them. Importantly he is open to questions and is answering them. #RahulGandhiStudentsInteraction","NAG"
"Congress focused on people of this country n their issues in its #Manifesto where as BJP highlights only PM Modi. Their promise is only Modi ji their claim is return to power of Modi ji n their vision is how to prolong the rule of Modi ji. Rest all in #BJPManifesto is fiction","CAG"
"PM Modi spent 5 years in power without facing even a single presser n today when Modi ji along with other senior party leaders presented their #Manifesto still they could not take any question from the press. Such phobia about media in the country's PM is dangerous for democracy","OAG"
"Happening Now: People shower their affection and blessings on the Congress party during Congress General Secretary @priyankagandhi ji's massive roadshow in Ghaziabad UP","NAG"
"In Siliguri (Darjeeling) to campaign for Dr Harka Bahadur Chhetri of Jan Andolan Party. His speech is in Bangla Hindi and Nepalese! This party stands for non-ethnic non-violent expression of regional aspirations of the people. Another partner for alternative politics","NAG"
