"BJP Manifesto where it deals with J&K has set the pants of Kashmiri extremists on fire","OAG"
"Today was my first rally in Goa where I did not have my good friend Manohar Parrikar by my side. Parrikar Ji's life and message will always inspire. The dedication with which he worked for Goa has no parallel. India will never forget his contribution as Defence Minister","NAG"
"The Sikhs and Mahrattas finished off the Muslim invaders by 1795. Then the Sadhus and sanyasis emaciated the British and Subhash Bose made them flee India. Gandhi gave them safe passage despite the British engineering a 5 million rice deprivation genocide","OAG"
"Your Chowkidar @narendramodi ji is standing firm & serving the nation. But he is not alone. Everyone who is fighting corruption dirt social evils is a Chowkidar. Everyone working hard for the progress of India is a Chowkidar. Today every Indian is saying-#MainBhiChowkidar","NAG"
"The spectacular rally in Chitradurga indicates the mood of Karnataka. Congress and JD(S) cannot talk of their work so they divide communities and harass farmers. Karnataka has had enough of these two parties. Our seats from the state will increase this election","OAG"
"No 2 Crore JOBS. No 15 Lakhs in Bank A/C. No ACCHE DIN. Instead: No JOBS. DEMONETISATION. Farmers in Pain. GABBAR SINGH TAX. Suit Boot Sarkar. RAFALE. Lies. Lies. Lies. Distrust. Violence. HATE. Fear. You vote today for the soul of India. For her future. Vote wisely","OAG"
"Happy to have campaigned in Thiruvananthapuram last evening. BJP's support base in this city has been rising over the last many years. UDF and LDF's corruption communalism and failure to protect Kerala's culture is drawing people to BJP. Kerala politics is seeing a big shift","OAG"
"Dear Citizens of India Phase 2 of the Lok Sabha polls start today. I am sure all those whose seats are polling today will strengthen our democracy by exercising their franchise. I hope more youngsters head to the polling booths and vote!","NAG"
"I have already given to SC complete and irrefutable arguments why Ram Mandir in Ayodhya where it was before butchers from Afghanistan (Babar) demolished it. Muslims now 99% agree. So anytime Ram Mandir","OAG"
"PTs may remember that I had openly urged Namo to concentrate on Hindutva and on fighting corruption and not touch the issue of Vikas. I find Now that is what he is doing. Now success assured","NAG"
"The Honourable Chief Minister of Karnataka says talking about the valour of our armed forces makes his vote-bank unhappy. Mr. Chief Minister what votebank is this? May I remind Congress-JD(S) that polls are in Bagalkot not Balakot across the borders!","CAG"
"As I prepare to seek the support to fulfill the expectations of the people of Arunachal Pradesh I fondly remember the blessing I recieved from Bharat Ratna Atal Bihari Vajpayee. A Journey never stops and I believe that the task given to me by the people will be fulfilled","NAG"
"Our track record manifests how we have waged a successful war against Inspector Raj. Traders have benefitted due to this","NAG"
"The large audience at my rallies across Karnataka are making Congress and JD(S) nervous. On 23rd May they will get a bigger shock when it will be a BJP sweep in the state. Sharing pictures from Bagalkot and Chikkodi","NAG"
"The brutal murder of two members of our Youth Congress family in Kasargod, Kerala is shocking. The Congress Party stands in solidarity with the families of these two young men & I send them my deepest condolences. We will not rest till the murderers are brought to justice.","OAG"
"Tricks from the Congress playbook: Call for two Prime Ministers one for Kashmir and the other for the rest of India. In Karnataka create divisions among people. But people know their devious games and will reject them again","OAG"
"BJP unveils a fresh set of jumlas without telling the country what is the fate of its 2014 jumlas. Modi-Shah don't have the courage to speak on why demonetisation was done? What happened to two crore jobs ? Why were farmers pushed towards destruction","OAG"
"Had an extensive interaction with trader friends from across India. For decades Congress gave the nation License Raj Permit Raj and Quota System in trade & commerce. This destroyed room for innovation and enterprise. Jana Sangh and BJP have always worked for small businesses","CAG"
"Himmatnagar and Sabarkantha have an old relation with our party. When the Jana Sangh was still growing this part of Gujarat blessed us. At the rally today highlighted the work and vision of NDA for farmers and youngsters. BJP's support in this part is at an all-time high","NAG"
"Namo now admits govt with PDP was a Mahamilawat. Quotes National Herald case as fighting corruption and silent on economy. In future we must conclude the 500 years Hindu struggle against foreign vandalism on Ram Temple & convert bail to jail for Ali Bibi and her chalis chors","OAG"
"Disgraceful comments by BJP's Bhopal Lok Sabha candidate Pragya Thakur on 26/11 martyr Hemant Karkare ji need to be condemned in strongest terms. BJP is showing its true colours & it must be shown it's place now. Pragya Singh Thakur: Maine kaha tera (Mumbai ATS chief late Hemant Karkare) sarvanash hoga. Theek sava mahine mein sutak lagta hai. Jis din main gayi thi us din iske sutak lag gaya tha. Aur theek sava mahine mein jis din atankwadiyon ne isko maara us din uska anth hua","OAG"
"Finally Mamata didi's trusted lieutenant accepts that her party believes in the idea of violence and anarchy. But I want to remind Mamata Didi that such destruction of democracy won't last long. People of Bengal will vote out TMC at the hustings. Her time is up","OAG"
"Pakistan and Imran Khan are openly supporting Modi ji. It is clear now that Modi ji has some secret pact wid them. Everyone is asking - did Pakistan kill 40 of our brave soldiers in Pulwama on 14 Feb just before elections to help Modi ji?","CAG"
"UPA ruled for 10 years and gave only Rs.16500 crore for Telangana during these years. I want to tell the people of Telangana that Modi government gave a whopping amount of Rs. 245000 crore for the development of Telangana in just 5 years","CAG"
"We are not in power in Telangana but it does not deter us from working for the development of the state. PM Modi left no stone unturned in serving the people of Telangana. It was Modi ji who inaugurated Hyderabad Metro in 2016 and sanctioned Rs. 16000 crore for the same","NAG"
"I want to ask the people of Telangana why Chandrashekhar Rao government does not celebrate Telangana Liberation Day? The reason for not celebrating the liberation day is Owaisi-Fear","CAG"
"Addressed a public meeting in Shamshabad Telangana. Wherever i go I see huge support for PM Narendra Modi. The people of India are all set to bless Modi ji again with absolute majority","NAG"
